"","subcatchment_id","subcatchment_id_std"
"1","RailwayBridge","Adelaide_Railway_Bridge"
"2","13_revised","13_exclGapCatchments"
"3","1","1"
"4","14","14"
"5","15","15"
"6","16","16"
"7","17","17"
"8","19","19"
"9","2","2"
"10","20","20"
"11","21","21"
"12","22","22"
"13","23","23"
"14","24","24"
"15","25","25"
"16","26","26"
"17","27","27"
"18","28","28"
"19","29","29"
"20","3","3"
"21","30","30"
"22","31","31"
"23","32","32"
"24","33","33"
"25","34","34"
"26","35","35"
"27","36","36"
"28","37","37"
"29","38","38"
"30","4","4"
"31","5","5"
"32","6","6"
"33","7","7"
"34","8","8"
"35","9","9"
"36","Central_Gap","Central_Gap"
"37","North_Gap","North_Gap"
